"price","desc","loc"
"Rp 2.800.000.000","4 KT - 5 KM - 250 m2","Tebet, Jakarta Selatan"
"Rp 841.000.000","2 KT - 2 KM - 68 m2","Cilandak, Jakarta Selatan"
"Rp 3.000.000.000","3 KT - 3 KM - 127 m2","Pademangan, Jakarta Utara"
"Rp 10.000.000",">10 KT - >10 KM - 1800 m2","Cilincing, Jakarta Utara"
"Rp 900.000.003","2 KT - 2 KM - 72 m2","Cilandak, Jakarta Selatan"
"Rp 1.500.000.004","3 KT - 3 KM - 88 m2","Pasar Minggu, Jakarta Selatan"
"Rp 450.000.000","2 KT - 1 KM - 60 m2","Ciracas, Jakarta Timur"
"Rp 445.000.000","2 KT - 2 KM - 56 m2","Kramat Jati, Jakarta Timur"
"Rp 600.000.000","3 KT - 3 KM - 70 m2","Cipayung, Jakarta Timur"
"Rp 3.500.000.000","4 KT - 3 KM - 160 m2","Kramat Jati, Jakarta Timur"
"Rp 5.500.000.000","10 KT - 7 KM - 300 m2","Cempaka Putih, Jakarta Pusat"
"Rp 350.000.000","1 KT - 1 KM - 33 m2","Kramat Jati, Jakarta Timur"
"Rp 18.000.000.000","6 KT - 7 KM - 750 m2","Kemayoran, Jakarta Pusat"
"Rp 5.800.000.000","4 KT - 4 KM - 191 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.550.000.000","4 KT - 4 KM - 200 m2","Cakung, Jakarta Timur"
"Rp 1.300.000.000","10 KT - 6 KM - 91 m2","Pademangan, Jakarta Utara"
"Rp 3.800.000.000","5 KT - 3 KM - 300 m2","Kemayoran, Jakarta Pusat"
"Rp 1.500.000.000","4 KT - 2 KM - 115 m2","Cibubur, Jakarta Timur"
"Rp 3.500.000.000","3 KT - 3 KM - 260 m2","Penjaringan, Jakarta Utara"
"Rp 8.950.000.000","7 KT - 5 KM - 323 m2","Cilandak, Jakarta Selatan"
"Rp 1.370.880.000","4 KT - 4 KM - 157 m2","Jagakarsa, Jakarta Selatan"
"Rp 500.000.000","2 KT - 1 KM - 55 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.370.008.580","4 KT - 4 KM - 160 m2","Cilandak, Jakarta Selatan"
"Rp 3.500.000.000","5 KT - 4 KM - 206 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 1.500.000.001","4 KT - 3 KM - 110 m2","Setia Budi, Jakarta Selatan"
"Rp 5.300.000.000","4 KT - 5 KM - 300 m2","Kembangan, Jakarta Barat"
"Rp 275.000.000","2 KT - 1 KM - 36 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 650.000.000","3 KT - 2 KM - 90 m2","Cipayung, Jakarta Timur"
"Rp 240.000.000","2 KT - 1 KM - 30 m2","Jatinegara, Jakarta Timur"
"Rp 3.900.000.000","5 KT - 2 KM - 150 m2","Menteng, Jakarta Pusat"
"Rp 700.000.000","2 KT - 1 KM - 55 m2","Pasar Rebo, Jakarta Timur"
"Rp 1.900.000.000","4 KT - 4 KM - 122 m2","Duren Sawit, Jakarta Timur"
"Rp 972.000.000","3 KT - 2 KM - 73 m2","Cempaka Putih, Jakarta Pusat"
"Rp 240.000.000","2 KT - 1 KM - 30 m2","Pancoran, Jakarta Selatan"
