"price","desc","loc"
"Rp 31.500.000.000","6 KT - 6 KM - 600 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 12.500.000.000","5 KT - 5 KM - 380 m2","Tebet, Jakarta Selatan"
"Rp 350.000.000","2 KT - 1 KM - 54 m2","Pademangan, Jakarta Utara"
"Rp 130.000.000","2 KT - 1 KM - 30 m2","Tanjung Priok, Jakarta Utara"
"Rp 5.400.000.000","5 KT - 4 KM - 147 m2","Cakung, Jakarta Timur"
"Rp 1.900.000.000","2 KT - 2 KM - 112 m2","Cengkareng, Jakarta Barat"
"Rp 450.000.000","1 KT - 2 KM - 50 m2","Pancoran, Jakarta Selatan"
"Rp 1.650.000.000","3 KT - 3 KM - 86 m2","Cilandak, Jakarta Selatan"
"Rp 2.800.000.000","4 KT - 3 KM - 200 m2","Palmerah, Jakarta Barat"
"Rp 4.200.000.000","5 KT - 4 KM - 197 m2","Jagakarsa, Jakarta Selatan"
"Rp 9.500.000.022","5 KT - 3 KM - 280 m2","Tebet, Jakarta Selatan"
"Rp 1.225.000.000","3 KT - 2 KM - 55 m2","Kalideres, Jakarta Barat"
"Rp 1.650.000.000","3 KT - 3 KM - 86 m2","Jagakarsa, Jakarta Selatan"
"Rp 2.000.000.000","4 KT - 3 KM - 137 m2","Cibubur, Jakarta Timur"
"Rp 1.269.800.000","3 KT - 2 KM - 50 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.100.000.000","3 KT - 2 KM - 100 m2","Cibubur, Jakarta Timur"
"Rp 13.800.000.000","5 KT - 4 KM - 369 m2","Pancoran, Jakarta Selatan"
"Rp 3.200.000.000",">10 KT - >10 KM - 400 m2","Pademangan, Jakarta Utara"
"Rp 400.000.000","1 KT - 1 KM - 60 m2","Kebon Jeruk, Jakarta Barat"
"Rp 6.500.000.000","9 KT - 4 KM - 250 m2","Setia Budi, Jakarta Selatan"
"Rp 11.400.000.000","4 KT - 4 KM - 300 m2","Kemayoran, Jakarta Pusat"
"Rp 750.000.000","3 KT - 2 KM - 64 m2","Matraman, Jakarta Timur"
"Rp 2.850.000.000","3 KT - 2 KM - 165 m2","Gambir, Jakarta Pusat"
"Rp 4.000.000.000","6 KT - 6 KM - 236 m2","Tebet, Jakarta Selatan"
"Rp 5.900.000.000","5 KT - 5 KM - 120 m2","Pesanggrahan, Jakarta Selatan"
"Rp 72.000.000.000","8 KT - 4 KM - 700 m2","Menteng, Jakarta Pusat"
